gus.buptnet.edu.cn                bupt.edu.cn
e3000.fjau.edu.cn                 fjau.edu.cn
dns1.xit.edu.cn                   xit.edu.cn
dns.hubu.edu.cn                   hubu.edu.cn
dns.jhun.edu.cn                   jhun.edu.cn
dns.ctgu.edu.cn                   ctgu.edu.cn
dns2.hbpu.edu.cn                  hbpu.edu.cn
dns.hbpu.edu.cn                   hbpu.edu.cn
dns2.hustwb.edu.cn                hustwb.edu.cn
dns3.yangtzeu.edu.cn              yangtzeu.edu.cn
dns.hustwb.edu.cn                 hustwb.edu.cn
dns.yangtzeu.edu.cn               yangtzeu.edu.cn
dns2.yangtzeu.edu.cn              yangtzeu.edu.cn
dns.huat.edu.cn                   huat.edu.cn
dns.hifa.edu.cn                   hifa.edu.cn
dns2.hubce.edu.cn                 hue.edu.cn
dns.hubce.edu.cn                  hue.edu.cn
dns2.hifa.edu.cn                  hifa.edu.cn
pdns.xtu.edu.cn                   xtu.edu.cn
dns.hncc.edu.cn                   hncc.edu.cn
dns.hnie.edu.cn                   hnie.edu.cn
dns.hnust.edu.cn                  hnust.edu.cn
dns.csust.edu.cn                  csust.edu.cn
dns2.csust.edu.cn                 csust.edu.cn
dns2.hbue.edu.cn                  hbue.edu.cn
dns.hnfnu.edu.cn                  hnfnu.edu.cn
dns.hnpu.edu.cn                   hnpu.edu.cn
dns.hnctcm.edu.cn                 hnctcm.edu.cn
DNS.plaieu.edu.cn                 plaieu.edu.cn
dns.htu.edu.cn                    henannu.edu.cn
dns2.htu.edu.cn                   henannu.edu.cn
dns.henu.edu.cn                   henu.edu.cn
dns2.henu.edu.cn                  henu.edu.cn
cpqpl1500.henau.edu.cn            henau.edu.cn
dns.haust.edu.cn                  haust.edu.cn
dns.haut.edu.cn                   haut.edu.cn
server.haut.edu.cn                haut.edu.cn
dns2.hncj.edu.cn                  hncj.edu.cn
dns.jzu.edu.cn                    jzu.edu.cn
hhstu.hhstu.edu.cn                hhstu.edu.cn
dns.huel.edu.cn                   huel.edu.cn
dns2.haue.edu.cn                  haue.edu.cn
dns.hneeu.edu.cn                  hneeu.edu.cn
