
; <<>> DiG 9.9.5-W1 <<>> @dns1.ctbu.edu.cn axfr ctbu.edu.cn
; (1 server found)
;; global options: +cmd
www.lib.ctbu.edu.cn.	10800	IN	A	211.83.206.11
linktalk.ctbu.edu.cn.	10800	IN	A	211.83.206.34
listen.ctbu.edu.cn.	10800	IN	A	211.83.206.215
ljc.ctbu.edu.cn.	10800	IN	A	211.83.206.216
ljez.ctbu.edu.cn.	10800	IN	A	211.83.206.20
lovezone.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
lovezone2013.ctbu.edu.cn. 10800	IN	A	211.83.206.241
lsx.ctbu.edu.cn.	10800	IN	A	211.83.206.20
lyj.ctbu.edu.cn.	10800	IN	A	211.83.206.3
lzyjzx.ctbu.edu.cn.	10800	IN	CNAME	baowei.ctbu.edu.cn.
mail.ctbu.edu.cn.	10800	IN	A	211.83.206.26
mall.ctbu.edu.cn.	10800	IN	A	211.83.206.50
map.ctbu.edu.cn.	10800	IN	A	211.83.206.8
marx.ctbu.edu.cn.	10800	IN	A	211.83.206.3
mba.ctbu.edu.cn.	10800	IN	A	211.83.206.50
mbadev.ctbu.edu.cn.	10800	IN	A	211.83.206.50
mc.ctbu.edu.cn.		10800	IN	A	211.83.206.216
mcalumin.ctbu.edu.cn.	10800	IN	A	211.83.206.41
meeting.ctbu.edu.cn.	10800	IN	A	211.83.206.28
mer.ctbu.edu.cn.	10800	IN	A	211.83.206.216
metc.ctbu.edu.cn.	10800	IN	A	211.83.206.216
miada.ctbu.edu.cn.	10800	IN	A	211.83.206.3
miadae.ctbu.edu.cn.	10800	IN	A	211.83.206.3
miadao.ctbu.edu.cn.	10800	IN	A	211.83.206.216
mis.ctbu.edu.cn.	10800	IN	A	211.83.206.216
moodle.ctbu.edu.cn.	10800	IN	A	211.83.206.223
mri.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
ms.ctbu.edu.cn.		10800	IN	A	211.83.206.216
music.ctbu.edu.cn.	10800	IN	CNAME	soft.ctbu.edu.cn.
musicweb.ctbu.edu.cn.	10800	IN	CNAME	video.ctbu.edu.cn.
my.ctbu.edu.cn.		10800	IN	A	211.83.206.50
newera.ctbu.edu.cn.	10800	IN	A	211.83.206.236
news.ctbu.edu.cn.	10800	IN	CNAME	www.ctbu.edu.cn.
nhce.ctbu.edu.cn.	10800	IN	A	211.83.206.11
nic.ctbu.edu.cn.	10800	IN	A	211.83.206.50
nicdev.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
nsz.ctbu.edu.cn.	10800	IN	A	211.83.206.50
nyjg.ctbu.edu.cn.	10800	IN	A	211.83.206.112
nymis.ctbu.edu.cn.	10800	IN	A	211.83.206.20
nzc.ctbu.edu.cn.	10800	IN	A	211.83.206.50
occ.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
oneday.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
online-tv.ctbu.edu.cn.	10800	IN	A	211.83.206.39
onlinetv.ctbu.edu.cn.	10800	IN	A	211.83.206.39
oocc.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
ooooye.ctbu.edu.cn.	10800	IN	A	211.83.206.44
paisi.ctbu.edu.cn.	10800	IN	A	211.83.206.216
paperprint.ctbu.edu.cn.	10800	IN	A	211.83.206.228
pdisk.ctbu.edu.cn.	10800	IN	A	211.83.206.240
ped.ctbu.edu.cn.	10800	IN	A	211.83.206.3
peixun.ctbu.edu.cn.	10800	IN	A	211.83.206.17
pg.ctbu.edu.cn.		10800	IN	A	211.83.206.10
pgb.ctbu.edu.cn.	10800	IN	A	211.83.206.3
pgxt.ctbu.edu.cn.	10800	IN	A	211.83.206.11
phpstat.ctbu.edu.cn.	10800	IN	A	211.83.206.213
phpstats.ctbu.edu.cn.	10800	IN	A	211.83.206.213
phptest.ctbu.edu.cn.	10800	IN	A	211.83.206.216
pic.ctbu.edu.cn.	10800	IN	A	211.83.206.20
po.ctbu.edu.cn.		10800	IN	CNAME	web.ctbu.edu.cn.
pocc.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
portal.ctbu.edu.cn.	10800	IN	A	211.83.206.50
post.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
print.ctbu.edu.cn.	10800	IN	A	211.83.206.141
printer.ctbu.edu.cn.	10800	IN	A	211.83.206.228
psds.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
psdsdev.ctbu.edu.cn.	10800	IN	A	211.83.206.50
qgzx.ctbu.edu.cn.	10800	IN	A	211.83.206.10
qq.ctbu.edu.cn.		10800	IN	CNAME	security.ctbu.edu.cn.
qqsw.ctbu.edu.cn.	10800	IN	A	211.83.206.20
qxhq.ctbu.edu.cn.	10800	IN	A	211.83.206.50
qyglzx.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
qyjj.ctbu.edu.cn.	10800	IN	A	211.83.206.3
qzlx.ctbu.edu.cn.	10800	IN	A	211.83.206.3
rea.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
recharge.ctbu.edu.cn.	10800	IN	CNAME	www.ctbu.edu.cn.
report.ctbu.edu.cn.	10800	IN	A	211.83.206.237
resource.ctbu.edu.cn.	10800	IN	CNAME	eol.ctbu.edu.cn.
rms.ctbu.edu.cn.	10800	IN	A	211.83.206.63
ro.ctbu.edu.cn.		10800	IN	A	211.83.206.3
rpms.ctbu.edu.cn.	10800	IN	CNAME	kyc.ctbu.edu.cn.
rsc.ctbu.edu.cn.	10800	IN	A	211.83.206.216
rzc.ctbu.edu.cn.	10800	IN	A	211.83.206.216
sbt.ctbu.edu.cn.	10800	IN	A	211.83.206.3
sc.ctbu.edu.cn.		10800	IN	A	211.83.206.3
sci.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
scnew.ctbu.edu.cn.	10800	IN	A	211.83.206.3
scold.ctbu.edu.cn.	10800	IN	A	211.83.206.16
scsie.ctbu.edu.cn.	10800	IN	A	211.83.206.63
security.ctbu.edu.cn.	10800	IN	A	211.83.192.77
serv.ctbu.edu.cn.	10800	IN	A	211.83.206.224
server.ctbu.edu.cn.	10800	IN	A	211.83.206.10
service.ctbu.edu.cn.	10800	IN	A	211.83.206.10
sflep.ctbu.edu.cn.	10800	IN	CNAME	newera.ctbu.edu.cn.
sgcf.ctbu.edu.cn.	10800	IN	A	211.83.206.50
sgcg.ctbu.edu.cn.	10800	IN	A	211.83.206.50
shetuan.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
shetuandev.ctbu.edu.cn.	10800	IN	A	211.83.206.3
shiye.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
skc.ctbu.edu.cn.	10800	IN	A	211.83.206.3
sms.ctbu.edu.cn.	10800	IN	A	211.83.206.224
smsserver.ctbu.edu.cn.	10800	IN	A	211.83.192.39
soft.ctbu.edu.cn.	10800	IN	A	211.83.192.60
softweb.ctbu.edu.cn.	10800	IN	CNAME	video.ctbu.edu.cn.
spm.ctbu.edu.cn.	10800	IN	A	211.83.206.3
sro.ctbu.edu.cn.	10800	IN	A	211.83.206.3
sroold.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
start.ctbu.edu.cn.	10800	IN	A	211.83.206.10
stat.ctbu.edu.cn.	10800	IN	A	211.83.206.216
su.ctbu.edu.cn.		10800	IN	A	211.83.206.3
sudev.ctbu.edu.cn.	10800	IN	A	211.83.206.3
suo.ctbu.edu.cn.	10800	IN	A	211.83.206.5
suoold.ctbu.edu.cn.	10800	IN	CNAME	web.ctbu.edu.cn.
