
; <<>> DiG 9.9.5-W1 <<>> @dns.njupt.edu.cn axfr njupt.edu.cn
; (1 server found)
;; global options: +cmd
pg.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
pgrc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
pgyouth.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
portal.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
proxy.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
proxy1.njupt.edu.cn.	86400	IN	A	218.2.216.250
qh.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
qingma.njupt.edu.cn.	86400	IN	CNAME	rainbow.njupt.edu.cn.
qks.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
rainbow.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
rep.njupt.edu.cn.	86400	IN	CNAME	gcampus.njupt.edu.cn.
report.njupt.edu.cn.	86400	IN	CNAME	portal.njupt.edu.cn.
rmtc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
robocup.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
www.robotjs.njupt.edu.cn. 86400	IN	NS	iwbrs.njupt.edu.cn.
rs.njupt.edu.cn.	86400	IN	CNAME	portal.njupt.edu.cn.
rsc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
rszp.njupt.edu.cn.	86400	IN	CNAME	portal.njupt.edu.cn.
rwy.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
sast.njupt.edu.cn.	86400	IN	CNAME	rainbow.njupt.edu.cn.
sbjg.njupt.edu.cn.	86400	IN	CNAME	portal.njupt.edu.cn.
selab.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
shmsc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
sjc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
skc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
skie.njupt.edu.cn.	86400	IN	CNAME	nyzr.njupt.edu.cn.
smail.njupt.edu.cn.	86400	IN	A	202.119.230.118
smse.njupt.edu.cn.	86400	IN	CNAME	iam.njupt.edu.cn.
solab.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
spt.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
sso.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
star.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
su.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
sxsy.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
tav.njupt.edu.cn.	86400	IN	A	10.10.240.240
tdxy.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
test.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
theater.njupt.edu.cn.	86400	IN	CNAME	rainbow.njupt.edu.cn.
tu.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
txg.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
tyb.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
tzb.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
u.njupt.edu.cn.		86400	IN	NS	iwbrs.njupt.edu.cn.
urp.njupt.edu.cn.	86400	IN	CNAME	gcampus.njupt.edu.cn.
wb.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
wcd.njupt.edu.cn.	86400	IN	CNAME	ctie.njupt.edu.cn.
wicom.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
wism-aici2010.njupt.edu.cn. 86400 IN	NS	iwbrs.njupt.edu.cn.
wlsy.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
wsn.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
www.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
xb.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
xcb.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
xdh.njupt.edu.cn.	86400	IN	CNAME	ctie.njupt.edu.cn.
xjjs.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
xl.njupt.edu.cn.	86400	IN	CNAME	ctie.njupt.edu.cn.
xq70.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
xsc.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
xsswzx.njupt.edu.cn.	86400	IN	NS	iwbrs.njupt.edu.cn.
